Date,Open,High,Low,Close,Volume
2022-06-13 18:24:00,23660.65000000,23666.18000000,23600.00000000,23618.67000000,207.06388000
2022-06-13 18:25:00,23618.67000000,23636.38000000,23578.00000000,23581.05000000,229.64868000
2022-06-13 18:26:00,23581.05000000,23610.61000000,23570.02000000,23583.65000000,170.81911000
2022-06-13 18:27:00,23583.64000000,23673.26000000,23571.84000000,23631.02000000,172.17153000
2022-06-13 18:28:00,23631.03000000,23751.76000000,23631.02000000,23664.78000000,213.00108000
2022-06-13 18:29:00,23669.14000000,23675.90000000,23600.00000000,23617.62000000,182.02598000
2022-06-13 18:30:00,23617.61000000,23682.39000000,23552.55000000,23668.30000000,310.87410000
2022-06-13 18:31:00,23668.30000000,23745.34000000,23646.58000000,23713.09000000,249.89549000
2022-06-13 18:32:00,23713.08000000,23782.60000000,23676.94000000,23768.04000000,214.19373000
2022-06-13 18:33:00,23768.04000000,23768.04000000,23692.61000000,23695.63000000,149.40983000
2022-06-13 18:34:00,23695.62000000,23750.00000000,23685.80000000,23750.00000000,93.79465000
2022-06-13 18:35:00,23750.00000000,23791.00000000,23733.04000000,23757.58000000,208.48480000
2022-06-13 18:36:00,23757.58000000,23782.09000000,23698.24000000,23718.01000000,132.78809000
2022-06-13 18:37:00,23718.02000000,23734.12000000,23696.14000000,23707.86000000,77.71832000
2022-06-13 18:38:00,23707.86000000,23707.86000000,23668.74000000,23673.84000000,77.31249000
2022-06-13 18:39:00,23673.84000000,23739.71000000,23673.83000000,23738.86000000,90.75023000
2022-06-13 18:40:00,23738.86000000,23741.25000000,23663.74000000,23669.29000000,81.84568000
2022-06-13 18:41:00,23669.30000000,23673.69000000,23630.22000000,23635.31000000,62.57508000
2022-06-13 18:42:00,23635.31000000,23707.54000000,23618.78000000,23693.66000000,133.87484000
2022-06-13 18:43:00,23693.66000000,23776.61000000,23690.95000000,23742.00000000,111.15592000
2022-06-13 18:44:00,23742.00000000,23768.52000000,23683.94000000,23694.35000000,92.70072000
2022-06-13 18:45:00,23694.36000000,23744.88000000,23645.66000000,23664.96000000,92.92260000
2022-06-13 18:46:00,23664.97000000,23665.51000000,23605.31000000,23636.26000000,139.26056000
2022-06-13 18:47:00,23636.25000000,23662.72000000,23593.20000000,23608.38000000,244.05306000
2022-06-13 18:48:00,23608.37000000,23621.91000000,23575.00000000,23580.73000000,111.80978000
2022-06-13 18:49:00,23580.73000000,23611.30000000,23569.99000000,23577.85000000,133.98466000
