Date,Open,High,Low,Close,Volume
2022-06-10 20:00:00,252.8001,252.9900,252.8001,252.9900,481
2022-06-10 19:55:00,252.9900,252.9900,252.9000,252.9000,912
2022-06-10 19:50:00,252.9900,253.1900,252.9900,252.9900,1876
2022-06-10 19:45:00,253.0400,253.0400,253.0400,253.0400,345
2022-06-10 19:40:00,252.9900,253.0200,252.9900,253.0200,419
2022-06-10 19:35:00,253.0200,253.0200,253.0200,253.0200,237
2022-06-10 19:30:00,253.0500,253.0500,253.0500,253.0500,263
2022-06-10 19:25:00,253.0500,253.0500,253.0500,253.0500,203
2022-06-10 19:20:00,252.9900,252.9900,252.9900,252.9900,564
2022-06-10 19:15:00,253.0500,253.0500,253.0500,253.0500,1070
2022-06-10 19:10:00,253.0000,253.0000,253.0000,253.0000,252
2022-06-10 19:05:00,253.0000,253.0000,252.9900,252.9900,1839
2022-06-10 19:00:00,253.0600,253.0600,253.0500,253.0500,410
2022-06-10 18:55:00,253.0000,253.0000,253.0000,253.0000,400
2022-06-10 18:50:00,253.0500,253.0500,253.0000,253.0000,1773
2022-06-10 18:45:00,253.0400,253.0400,253.0400,253.0400,452
2022-06-10 18:40:00,253.0000,253.0600,252.9900,252.9900,4038
2022-06-10 18:35:00,253.0600,253.0600,252.9900,253.0000,1993
2022-06-10 18:25:00,253.0500,253.0500,253.0500,253.0500,352
2022-06-10 18:00:00,253.0222,253.0222,253.0000,253.0000,260
2022-06-10 17:55:00,253.0000,253.1900,253.0000,253.0000,1170
2022-06-10 17:50:00,253.1200,253.1200,253.1200,253.1200,230
2022-06-10 17:40:00,253.0500,253.0500,253.0200,253.0200,808
2022-06-10 17:35:00,253.0800,253.0800,253.0000,253.0000,1758
2022-06-10 17:30:00,253.0500,253.1000,253.0500,253.1000,633
2022-06-10 17:25:00,253.1100,253.1100,253.1100,253.1100,1338
2022-06-10 17:15:00,253.0900,253.1100,252.9900,252.9900,5765
2022-06-10 17:10:00,253.0400,253.1199,253.0400,253.1199,781
2022-06-10 17:05:00,252.9900,253.0500,252.9900,253.0500,70175
2022-06-10 17:00:00,253.1100,253.1100,253.0000,253.0000,2325
2022-06-10 16:55:00,253.1600,253.1600,253.1600,253.1600,314
2022-06-10 16:45:00,253.2100,253.2100,253.1601,253.1601,1081
